,name
319,Пленка самоклеящаяся RI-MARK PREMIUM (629 1.22х1.00 м красный)
321,"Пленка полимерная LX/LG, серия LC6700, 6711М, красная,матовая, 1.22 x1.00 м"
323,"Образец Обои Canvas (Холст) с флизелин основой 1,07*2м"
325,"Полипропиленовый П-профиль/серый/U04 112 х 49 х 4, 5 м"
327,Лист ПК LT2UV 16 /3TS/DR2700  2100x6000 бронза
329,"Ткань для стенда Expoline, 305*44*228 см, изогнутый, односторонний"
331,"Ткань Шифон, 61 г/кв.м, 1,6м*131м. Термотрансфер"
332,"Каландр масляный JC-26B 600*1700, 46 кВт, 2 пневмовала"
334,краска полиграфическая S3458/5
335,Лист ПК сот. 2100х6000х6мм прозр. Borrex 2UV
337,"Образец Дешайн, 60г/кв.м, 1,5*1м. Термотрансфер. Ровный край"
339,Уплотнение FPM d. 50/749 440 710
341,"Образец Шармус Люкс, 85г/кв.м, 1,5*1м. Термотрансфер. Ровный край"
343,"3M™ VHB™ LSE-160WF Лента монтажная двусторонняя, адгезив акриловый, основа-вспененный акрил, белый 1,6 мм х 19 мм х 33 м"
345,Образец Фотолюминесцентная пленка Lucentis 200 комплект (План А4+ Лист А4) Гельветика Урал
347,Образец Фотолюминесцентная пленка Lucentis 200 комплект (План А4+ Лист А4) Гельветика Тюмень
349,"Алюминиевая композитная панель Bildex 4*1220*4000 мм, (al 0.4 мм) цвет красный BX 3020 в Г4"
351,Профиль ALS 130 серый  2м
353,"Лезвие OLFA KB4-WS/3 пильное для толстых материалов, 3 шт"
354,"Хлопковая футболка UC Premium, унисекс, 100% хлопок, плотность 180 г/м2, 42-44/XS, черная"
356,"Лезвие OLFA SWB-5/1B мини-ножовка, 1.25мм, 1 шт."
357,"IMAGEY 4-диодный модуль 4 диода красный (IP67 0,48W)"
359,"Акрил IRPEN 210002 оранжевый, 3*2050*1525мм"
361,"Стойка информ. 1,0 м. 55° рамка Клик 45° А4 (черный муар RAL-9005)"
363,Лист акрил. PERSPEX GS PMMA NEUTRAL 9T01 10x3050x2030 мм cast
365,"Пленка литая самоклеящаяся Oracal 970 G 363 1,52*50 м оранжевая, глянцевая"
366,"Баннер короткий Vikuflex литой Frontlit 400 г, 1,37*45 м полумат 1000D*1000D, 16*16"
367,"Набор сверл по дереву Ultima, спиральные, 4-5-6-8-10 мм, 50 шт, цилинд. хвост"
369,"Бумага Ситилайт Vilaseca Skylight 135 г/м2 1,27м * 82м, сольвент, UV, латекс н6930"
370,"Термотрансферная пленка Plotterfilms Flex Spesso S350 0,5*10 м красный, 500 микрон"
371,"Термотрансферная пленка Plotterfilms Flex Gel S100 0,5*10 м белый, 750 микрон, эффект 3D"
372,"Круг отрезной по металлу Ultima, 125*1,6*22,2 мм, черный"
374,"Прокладка SteriPad 820Х820Х3 мм, 1016 отв."
376,"Акриловое стекло: Ирпен 2,05х3,05 6мм 010001 W дв.сатин прозрачный"
378,"Обои Indorian (HOME ART Канва) виниловые на полиэстеровой основе 3,2*50 м, негорючие"
379,"Солнцезащитная Sputter пленка Solartek V. SOLAR BRONZE 50 2MIL, 1,52*30м, 63 мкм, VLT 45,9%, PET, бронза/медь"
381,"Кобальтовое сверло по металлу Ultima, 3,5*70 мм, сталь P6M5K5, цилинд. хвост"
383,Монолитный поликарбонат Оптима МПК 6*2050*3050 мм прозрачный
385,"Ткань Сатен 183 гр/м2, 1,60 м*66 м, Термотрансфер, А"
386,"Обои Indorian (HOME ART Бетон) виниловые на полиэстеровой основе 1,37*50 м, негорючие"
387,"Термотрансферная пленка Plotterfilms Flex Linea Matt S100 0,5*25 м белая, матовая для номеров"
388,"Кобальтовое сверло по металлу Ultima, 3*61 мм, сталь P6M5K5, цилинд. хвост"
390,"Ткань Неопрен белый 100% ПЭ, 300 гр/м2, 48м*1,5 м, Термотрансфер Y"
391,"Лезвия OLFA TSB-1, 6 мм, 60°, 5 шт"
392,"Упаковка накладок из тефлона на прямоугольный ракель 100*30 мм, 10 шт в упаковке. XXL упаковка TEFLON-10"
393,"Печатная термотрансферная пленка Digital UVI Print 0,5*25 м"
394,"Тканевый стенд Altec ST-1, 300*20*230 см, прямой, двусторонний + сумка"
396,"Лист акрил. Loriglas зеркало 1,5*1220*2440 мм, серебряный"
398,"Этикетка ""Правила мойки автомобиля в Hogomaku"""
400,"Декоративная пленка Solartek BLACK OUT 2MIL, 1,52*30м, 67 мкм, VLT 0%, PET, глянец, черная"
402,"Усиленная нержавеющая линейка Зубр Профессионал Про-100, 1 м, двусторонняя"
404,"Лист акрил. Loriglas зеркало 1,5*1220*2440 мм, золотой"
406,"Подрамник глухой, 30*40*1,8 см, рейка 3 см, ПК 3018"
408,"Ткань Ложная сетка 140г/кв.м, 1,65*44 м. Термотрансфер"
409,"Хлопковая футболка UC Premium, унисекс, 100% хлопок, плотность 180 г/м2, 48-50/L, черная"
411,ND 51050
412,"Световая панель тонкая СУПЕРЛАЙТ 5000 нт, 8,8 мм, А3, черная + блок питания"
414,"Ложная сетка 215г/кв.м, 1,65*59  м. Термотрансфер."
415,"Пленка самоклеящаяся Foletti F032 M матовая светло-красная 1,26*50"
416,ZA02T006 Cleaning wipes
417,BJB Патрон G10q: 26.712.4710.50 кольцевой
419,Плакат Hogomaku для лайтбокса
421,Сенсор OPOS для флюгерного модуля SummaCut
423,"Хлопковый лонгслив UC Premium, унисекс, 100% хлопок, кулирная гладь, плотность 180 г/м2, 40-42/XXS, белый"
